sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask,mask_dur,mask_texture,jitter
101,42,2,categorization,0,bathroom,SHINEd_sun_agrwbmhcpmfuwmsg.tif,26,83.33,33.33,1,83.33,121,1.0256992016698
101,43,2,categorization,0,bathroom,SHINEd_sun_apynckhmoftszqoq.tif,46,83.33,33.33,1,83.33,121,0.761072294709566
101,44,2,categorization,0,bathroom,SHINEd_sun_acsgbuurtwghzjel.tif,21,83.33,33.33,1,83.33,121,0.789760409813777
101,45,2,categorization,0,bathroom,SHINEd_sun_apkxzenqapsujocq.tif,45,83.33,33.33,1,83.33,121,1.18818271117702
101,46,2,categorization,0,kitchen,SHINEd_sun_admlmbcdswaszruo.tif,76,83.33,33.33,1,83.33,121,1.78240040329977
101,47,2,categorization,0,kitchen,SHINEd_sun_aaxxjlsuzvqlgylf.tif,66,83.33,33.33,1,83.33,121,1.64619235559759
101,48,2,categorization,0,bathroom,SHINEd_sun_atstyziqcmkahyxk.tif,51,83.33,33.33,1,83.33,121,1.80061899321726
101,49,2,categorization,0,bathroom,SHINEd_sun_aunuadmjocsddsrl.tif,52,83.33,33.33,1,83.33,121,1.91413427754019
101,50,2,categorization,0,bathroom,SHINEd_sun_aspsyogrekjtfozg.tif,50,83.33,33.33,1,83.33,121,0.778402988499056
101,1,3,categorization,0,bathroom,SHINEd_sun_abtukhmkjdzyfxhr.tif,18,83.33,33.33,1,83.33,121,1.62346243710547
101,2,3,categorization,0,bathroom,SHINEd_sun_acsgbuurtwghzjel.tif,21,83.33,33.33,1,83.33,121,0.926879118473772
101,3,3,categorization,0,bathroom,SHINEd_sun_axxbkopsgyouuebh.tif,58,83.33,33.33,1,83.33,121,1.09046357972134
101,4,3,categorization,0,bathroom,SHINEd_sun_abtukhmkjdzyfxhr.tif,18,83.33,33.33,1,83.33,121,1.92536671284189
101,5,3,categorization,0,bathroom,SHINEd_sun_aoybiabnpadelefl.tif,43,83.33,33.33,1,83.33,121,0.775162484288587
101,6,3,categorization,0,kitchen,SHINEd_sun_avszsnwsbuqfgzbn.tif,105,83.33,33.33,1,83.33,121,0.729223937724921
101,7,3,categorization,0,bathroom,SHINEd_sun_ahqjwnzgolcaoidx.tif,29,83.33,33.33,1,83.33,121,1.12832537672923
101,8,3,categorization,0,bathroom,SHINEd_sun_awnqiikzaispgmwo.tif,56,83.33,33.33,1,83.33,121,0.701947896268373
101,9,3,categorization,0,bathroom,SHINEd_sun_ahqjwnzgolcaoidx.tif,29,83.33,33.33,1,83.33,121,1.23225848868002
101,10,3,categorization,0,kitchen,SHINEd_sun_agfmsmojwptjoava.tif,82,83.33,33.33,1,83.33,121,1.8299517356007
101,11,3,categorization,0,kitchen,SHINEd_sun_aadbddgrdsjugojn.tif,62,83.33,33.33,1,83.33,121,0.709295255841776
101,12,3,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,107,83.33,33.33,1,83.33,121,1.74663690737764
101,13,3,categorization,0,kitchen,SHINEd_sun_acfmftudsenhrfhy.tif,72,83.33,33.33,1,83.33,121,1.46140268205885
101,14,3,categorization,0,kitchen,SHINEd_sun_axyyrmzcupyhlivc.tif,109,83.33,33.33,1,83.33,121,0.741316777036541
101,15,3,categorization,0,bathroom,SHINEd_sun_ammzpemadwrjdfzl.tif,37,83.33,33.33,1,83.33,121,1.11750692879942
101,16,3,categorization,0,bathroom,SHINEd_sun_axxbkopsgyouuebh.tif,58,83.33,33.33,1,83.33,121,0.96001557274451
101,17,3,categorization,0,bathroom,SHINEd_sun_aovflwamhlwzwvxs.tif,42,83.33,33.33,1,83.33,121,1.51915269783178
101,18,3,categorization,0,kitchen,SHINEd_sun_ahpczsiumwwocjkv.tif,90,83.33,33.33,1,83.33,121,1.49874061968446
101,19,3,categorization,0,kitchen,SHINEd_sun_aapllqyqlykszopd.tif,65,83.33,33.33,1,83.33,121,1.14590270863331
101,20,3,categorization,0,bathroom,SHINEd_sun_anlddfvefwvocyae.tif,40,83.33,33.33,1,83.33,121,0.736213420013935
101,21,3,categorization,0,bathroom,SHINEd_sun_aoybiabnpadelefl.tif,43,83.33,33.33,1,83.33,121,1.39255381046705
101,22,3,categorization,0,kitchen,SHINEd_sun_aapllqyqlykszopd.tif,65,83.33,33.33,1,83.33,121,1.10997627873844
101,23,3,categorization,0,bathroom,SHINEd_sun_aavhrsfjbserjtht.tif,15,83.33,33.33,1,83.33,121,0.896363404682077
101,24,3,categorization,0,kitchen,SHINEd_sun_abpwyqmlzafvklqo.tif,69,83.33,33.33,1,83.33,121,1.9811195363721
101,25,3,categorization,0,kitchen,SHINEd_sun_acxkpeoqbwcxfvip.tif,74,83.33,33.33,1,83.33,121,1.26241118056836
101,26,3,categorization,0,bathroom,SHINEd_sun_ahcvzmoyaycdoftf.tif,28,83.33,33.33,1,83.33,121,1.68262904520567
101,27,3,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,0.90490717196087
101,28,3,categorization,0,bathroom,SHINEd_sun_afcoljnjfoxjtgja.tif,24,83.33,33.33,1,83.33,121,0.977214032102756
101,29,3,categorization,0,bathroom,SHINEd_sun_ammzpemadwrjdfzl.tif,37,83.33,33.33,1,83.33,121,1.80167739193278
101,30,3,categorization,0,bathroom,SHINEd_sun_apynckhmoftszqoq.tif,46,83.33,33.33,1,83.33,121,1.9606927700504
101,31,3,categorization,0,kitchen,SHINEd_sun_acfluyeqiftljamq.tif,71,83.33,33.33,1,83.33,121,1.40725141037446
101,32,3,categorization,0,bathroom,SHINEd_sun_akbyysnpwewzraii.tif,32,83.33,33.33,1,83.33,121,1.90941653633335
101,33,3,categorization,0,bathroom,SHINEd_sun_axyrejkiiaqiurjk.tif,59,83.33,33.33,1,83.33,121,0.8845706123416
101,34,3,categorization,0,bathroom,SHINEd_labelme_xbsnnlvmskdknsb.tif,12,83.33,33.33,1,83.33,121,1.1640900544616
